city,site,id,Park_Name,Land_Use,name,Parent,Passive,Private,Disturbed
Cleveland,CLS61,CLP125,Lincoln Park,NATIVE,^Ap,Anthropogenic over Glacial Outwash over Lacustrine,Passive,Public,Disturbed
Cleveland,CLS61,CLP126,Lincoln Park,NATIVE,^C1u,Anthopogenic,Passive,Public,Disturbed
Cleveland,CLS63,CLP129,Loew Park,NATIVE,^A,Anthropgenic over Glacial Outwash over Aeolian,Passive,Public,Disturbed
Cleveland,CLS64,CLP131,Irma Park,NATIVE,^Au,Anthropogenic,Passive,Public,Disturbed
Cleveland,CLS7,CLP13,,FILL,^A,Anthropogenic over Aeolian Sands,Passive,Private,Disturbed
Cleveland,CLS7,CLP14,,NATIVE,^A,Anthropogenic over Aeolian Sands,Passive,Private,Disturbed
Cleveland,CLS8,CLP15,,FILL,^A,Anthropogenic over Aeolian Sands,Passive,Private,Disturbed
Cleveland,CLS8,CLP16,,NATIVE,^A,Anthropogenic over Aeolian Sands,Passive,Private,Disturbed
Cleveland,CLS9,CLP17,,FILL,^Au,Anthropogenic over Aeolian Sands,Passive,Private,Disturbed
Cleveland,CLS9,CLP18,,NATIVE,^A,Anthropogenic over Aeolian Sands,Passive,Private,Disturbed
Detroit,DS1,DP1,,DISTURBED,^A1,Anthropogenic,Passive,Private,Disturbed
Detroit,DS1,DP2,,UNDISTURBED,^Au,Anthropogenic,Passive,Private,Disturbed
Detroit,DS10,DP19,,DISTURBED,^A1u,Anthropogenic,Passive,Private,Disturbed
Detroit,DS10,DP20,,UNDISTURBED,^Au,Anthropogenic,Passive,Private,Disturbed
Detroit,DS11,DP21,,DISTURBED,^A1u,Anthropogenic,Passive,Private,Disturbed
Detroit,DS11,DP22,,UNDISTURBED,^Cu,Anthropogenic,Passive,Private,Disturbed
Detroit,DS12,DP23,,DISTURBED,^Cu,Anthropogenic,Passive,Private,Disturbed
Detroit,DS12,DP24,,UNDISTURBED,^Au,Anthropogenic,Passive,Private,Disturbed
Detroit,DS13,DP25,,DISTURBED,^Au,Anthropogenic,Passive,Private,Disturbed
Detroit,DS13,DP26,,UNDISTURBED,^A1u,Anthropogenic,Passive,Private,Disturbed
Detroit,DS14,DP27,,DISTURBED,^Au,Anthropogenic,Passive,Private,Disturbed
Detroit,DS14,DP28,,UNDISTURBED,^A1u,Anthropogenic,Passive,Private,Disturbed
Detroit,DS15,DP29,,DISTURBED,^Au,Anthropogenic,Passive,Private,Disturbed
Detroit,DS15,DP30,,UNDISTURBED,^Au,Anthropogenic,Passive,Private,Disturbed
Detroit,DS18,DP33,,DISTURBED,^Au,Anthropogenic,Passive,Private,Disturbed
Detroit,DS18,DP34,,UNDISTURBED,^A1u,Anthropogenic,Passive,Private,Disturbed
Detroit,DS19,DP35,,DISTURBED,^Au,Anthropogenic,Passive,Private,Disturbed
Detroit,DS19,DP36,,UNDISTURBED,^A1u,Anthropogenic,Passive,Private,Disturbed
Detroit,DS2,DP3,,DISTURBED,^Au,Anthropogenic,Passive,Private,Disturbed
Detroit,DS2,DP4,,UNDISTURBED,^Au,Anthropogenic,Passive,Private,Disturbed
Detroit,DS20,DP37,,DISTURBED,^Au,Anthropogenic,Passive,Private,Disturbed
Detroit,DS20,DP38,,UNDISTURBED,^A1u,Anthropogenic,Passive,Private,Disturbed
Detroit,DS21,DP39,,DISTURBED,^A1u,Anthropogenic,Passive,Private,Disturbed
Detroit,DS22,DP41,,DISTURBED,^A1u,Anthropogenic,Passive,Private,Disturbed
Detroit,DS22,DP42,,UNDISTURBED,^Au,Anthropogenic,Passive,Private,Disturbed
Detroit,DS23,DP43,,DISTURBED,^Cu,Anthropogenic,Passive,Private,Disturbed
Detroit,DS23,DP44,,UNDISTURBED,^A1u,Anthropogenic,Passive,Private,Disturbed
Detroit,DS24,DP45,,DISTURBED,^C1,Anthropogenic,Passive,Private,Disturbed
Detroit,DS24,DP46,,UNDISTURBED,^A1u,Anthropogenic,Passive,Private,Disturbed
Detroit,DS25,DP47,,DISTURBED,^A1u,Anthropogenic,Passive,Private,Disturbed
Detroit,DS25,DP48,,UNDISTURBED,^Au,Anthropogenic,Passive,Private,Disturbed
Detroit,DS26,DP49,,DISTURBED,^Cu,Anthropogenic,Passive,Private,Disturbed
Detroit,DS26,DP50,,UNDISTURBED,^A1u,Anthropogenic,Passive,Private,Disturbed
Detroit,DS27,DP51,,DISTURBED,^Au,Anthropogenic,Passive,Private,Disturbed
Detroit,DS28,DP53,Biraga Playground,,^Au,Anthropogenic,Passive,Public,Disturbed
Detroit,DS29,DP54,Messmer Playground,,^Au,Anthropogenic,Passive,Public,Disturbed
Detroit,DS3,DP5,,DISTURBED,^A,Anthropogenic,Passive,Private,Disturbed
Detroit,DS3,DP6,,UNDISTURBED,^Au,Anthropogenic,Passive,Private,Disturbed
Detroit,DS30,DP55,Maheras-Gentry Park,,^A1u,Anthropogenic,Passive,Public,Disturbed
Detroit,DS31,DP56,Robinwood Park,,^A,Anthropogenic,Passive,Public,Disturbed
Detroit,DS31,DP57,Robinwood Park,,^A,Anthropogenic,Passive,Public,Disturbed
Detroit,DS4,DP7,,DISTURBED,^A,Anthropogenic,Passive,Private,Disturbed
Detroit,DS4,DP8,,UNDISTURBED,^Au,Anthropogenic,Passive,Private,Disturbed
Detroit,DS5,DP10,,UNDISTURBED,^Au,Anthropogenic,Passive,Private,Disturbed
Detroit,DS5,DP9,,DISTURBED,^A1,Anthropogenic,Passive,Private,Disturbed
Detroit,DS6,DP11,,DISTURBED,^Au,Anthropogenic,Passive,Private,Disturbed
